Região Administrativa;Região de Governo;Município;Núcleo Regional;Unidades do CEETEPS;Código da Unidade;Número da Turma; Turma;Tipo de Ensino;Eixo Tecnológico/Educação Básica;Área Profissional;Habilitação/Curso;Período;Sexo Feminino;Sexo Masculino;Total de Alunos; Médio na ETEC;Médio em outra ETEC;Médio fora do CPS;Médio Concluído;Aprovados;Promoção Parcial;Retidos por Frequência;Retidos por Rendimento; Retidos por Frequencia e Rendimento; Retenção Parcial;Desistências;Transferências Expedidas;Transferências Recebidas;Trancamentos
Araçatuba;Araçatuba;Araçatuba;Bauru/Araçatuba;Etec de Araçatuba (EE Manoel Bento da Cruz);165.01 - Ext/Etec;300.709.153;3º Módulo;Técnico;Informação e Comunicação;Informática;Manutenção e Suporte em Informática (MNP);Noite;3;12;15;0;0;2;13;0;0;0;0;0;0;0;0;0;0;
Araçatuba;Araçatuba;Araçatuba;Bauru/Araçatuba;Etec de Araçatuba / Faculdade de Tecnologia Professor Fernando Amaral de Almeida Prado;165/177 - Etec/Fatec;300.712.555;3ª Série;Integrado;Informação e Comunicação;Informática;Desenvolvimento de Sistemas - MTec-AMS;Tarde;14;26;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Araçatuba;Araçatuba;Araçatuba;Bauru/Araçatuba;Etec de Araçatuba / Faculdade de Tecnologia Professor Fernando Amaral de Almeida Prado;165/177 - Etec/Fatec;300.712.378;2ª Série;Integrado;Informação e Comunicação;Informática;Desenvolvimento de Sistemas - MTec-AMS;Tarde;9;31;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Araçatuba;Araçatuba;Araçatuba;Bauru/Araçatuba;Etec de Araçatuba / Faculdade de Tecnologia Professor Fernando Amaral de Almeida Prado;165/177 - Etec/Fatec;300.712.299;1ª Série;Integrado;Informação e Comunicação;Informática;Desenvolvimento de Sistemas - MTec-AMS (MNP);Tarde;10;31;41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Araçatuba;Araçatuba;Auriflama;Bauru/Araçatuba;Etec de Araçatuba (EMEF Dona Conceição de Oliveira Moreira - Auriflama);165.2 - Cd_Cps;300.709.913;3º Módulo;Técnico;Gestão e Negócios;Gestão;Administração;Noite;6;5;11;0;0;0;11;0;0;0;0;0;0;0;0;0;0;
Araçatuba;Araçatuba;Auriflama;Bauru/Araçatuba;Etec Doutor José Luiz Viana Coutinho (EE Prof.ª Maria Pereira de Brito Benetoli);073.012 - Ext/Etec;000.073.012;2ª Série;Integrado;Informação e Comunicação;Informática;Desenvolvimento de Sistemas - MTec (Intercomplementar);Manhã e Tarde;11;16;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Araçatuba;Araçatuba;Avanhandava;Bauru/Araçatuba;Etec João Jorge Geraissate (EMEF Prof. Victor Sansoni - Avanhandava);069.3 - Cd_Cps;300.702.473;3º Módulo;Técnico;Informação e Comunicação;Informática;Informática;Noite;2;10;12;0;0;6;6;0;0;0;0;0;0;0;0;0;0;
Araçatuba;Araçatuba;Birigui;Bauru/Araçatuba;Etec Doutor Renato Cordeiro;123;300.715.224;2ª Série;Médio;Educação Básica;Educação Básica - Ensino Médio;Ensino Médio com Itinerário Formativo de Ciências da Natureza e suas Tecnologias;Manhã;23;17;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Araçatuba;Araçatuba;Birigui;Bauru/Araçatuba;Etec Doutor Renato Cordeiro;123;300.704.242;1ª Série;Médio;Educação Básica;Educação Básica - Ensino Médio;Ensino Médio com Itinerário Formativo de Ciências Humanas e Sociais Aplicadas;Manhã;23;17;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Araçatuba;Araçatuba;Birigui;Bauru/Araçatuba;Etec Doutor Renato Cordeiro;123;300.704.356;1ª Série;Médio;Educação Básica;Educação Básica - Ensino Médio;Ensino Médio com Itinerário Formativo de Linguagens e suas Tecnologias;Tarde;27;13;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
