Região Administrativa;Região de Governo;Município;Núcleo Regional;Unidades do CEETEPS;Código;Tipo de Ensino;Eixo Tecnológico/Educação Básica;Área Profissional;Curso/Habilitação;Período;Inscritos;Vagas;Demanda
Barretos;Barretos;Olímpia;Ribeirão Preto/Franca/Barretos;Etec Professor José Carlos Seno Junior;232;Integrado;Informação e Comunicação;Informática;Desenvolvimento de Sistemas - Mtec-N;Noite;47;40;1,17;
Barretos;Barretos;Olímpia;Ribeirão Preto/Franca/Barretos;Etec Professor José Carlos Seno Junior;232;Integrado;Informação e Comunicação;Informática;Desenvolvimento de Sistemas - MTec-PI ;Manhã e Tarde;220;40;5,50;
Barretos;Barretos;Olímpia;Ribeirão Preto/Franca/Barretos;Etec Professor José Carlos Seno Junior;232;Integrado;Produção Industrial;Química;Química - Mtec-N;Noite;42;40;1,05;
Barretos;Barretos;Olímpia;Ribeirão Preto/Franca/Barretos;Etec Professor José Carlos Seno Junior;232;Integrado;Produção Industrial;Química;Química - MTec-PI;Manhã e Tarde;201;40;5,02;
Bauru;Bauru;Bauru;Bauru/Araçatuba;Etec Astor de Mattos Carvalho (EE Prof. Christino Cabral);038.01 - Ext/Etec;Técnico;Gestão e Negócios;Gestão;Contabilidade;Noite;71;40;1,77;
Bauru;Bauru;Bauru;Bauru/Araçatuba;Etec Rodrigues de Abreu;135;Médio;Educação Básica;Educação Básica - Ensino Médio;Ensino Médio com Itinerário Formativo de Ciências Humanas e Sociais Aplicadas;Manhã;225;35;6,42;
Bauru;Bauru;Bauru;Bauru/Araçatuba;Etec Rodrigues de Abreu;135;Técnico;Gestão e Negócios;Gestão;Administração;Noite;124;40;3,10;
Bauru;Bauru;Bauru;Bauru/Araçatuba;Etec Rodrigues de Abreu;135;Técnico;Informação e Comunicação;Informática;Desenvolvimento de Sistemas;Noite;116;40;2,90;
Bauru;Bauru;Bauru;Bauru/Araçatuba;Etec Rodrigues de Abreu;135;Técnico;Ambiente e Saúde;Saúde;Enfermagem;Manhã;221;40;5,52;
Bauru;Bauru;Bauru;Bauru/Araçatuba;Etec Rodrigues de Abreu;135;Técnico;Segurança;Saúde;Segurança do Trabalho (MNP);Noite;100;40;2,50;
Bauru;Bauru;Bauru;Bauru/Araçatuba;Etec Rodrigues de Abreu;135;Integrado;Gestão e Negócios;Gestão;Administração - MTec-N;Noite;110;40;2,75;
Bauru;Bauru;Bauru;Bauru/Araçatuba;Etec Rodrigues de Abreu;135;Integrado;Gestão e Negócios;Gestão;Administração - MTec-PI;Manhã e Tarde;277;40;6,92;
Bauru;Bauru;Bauru;Bauru/Araçatuba;Etec Rodrigues de Abreu;135;Integrado;Informação e Comunicação;Informática;Desenvolvimento de Sistemas - MTec-PI ;Manhã e Tarde;400;40;10,00;
Bauru;Bauru;Bauru;Bauru/Araçatuba;Etec Rodrigues de Abreu;135;Integrado;Informação e Comunicação;Informática;Informática para Internet - MTec;Tarde;187;40;4,67;
Bauru;Bauru;Bauru;Bauru/Araçatuba;Etec Rodrigues de Abreu;135;Integrado;Gestão e Negócios;Gestão;Serviços Jurídicos - MTec;Tarde;160;40;4,00;
Bauru;Bauru;Bauru;Bauru/Araçatuba;Etec Rodrigues de Abreu (EE Ernesto Monte);135.01 - Ext/Etec;Técnico;Gestão e Negócios;Gestão;Logística;Noite;49;40;1,22;
Bauru;Bauru;Cabrália Paulista;Bauru/Araçatuba;Etec Astor de Mattos Carvalho;038;Técnico;Produção Industrial;Química;Química;Noite;55;35;1,57;
Bauru;Bauru;Cabrália Paulista;Bauru/Araçatuba;Etec Astor de Mattos Carvalho;038;Integrado;Gestão e Negócios;Gestão;Administração - MTec-PI;Manhã e Tarde;55;35;1,57;
Bauru;Bauru;Cabrália Paulista;Bauru/Araçatuba;Etec Astor de Mattos Carvalho;038;Integrado;Recursos Naturais;Agropecuária;Agropecuária - MTec-PI;Manhã e Tarde;81;35;2,31;
Bauru;Bauru;Cabrália Paulista;Bauru/Araçatuba;Etec Astor de Mattos Carvalho;038;Integrado;Informação e Comunicação;Informática;Informática para Internet - MTec-PI;Manhã e Tarde;58;35;1,65;
Bauru;Bauru;Lençóis Paulista;Bauru/Araçatuba;Etec Cidade do Livro;244;Técnico;Gestão e Negócios;Gestão;Logística;Noite;102;40;2,54;
Bauru;Bauru;Lençóis Paulista;Bauru/Araçatuba;Etec Cidade do Livro;244;Técnico;Produção Industrial;Química;Química;Noite;145;40;3,62;
Bauru;Bauru;Lençóis Paulista;Bauru/Araçatuba;Etec Cidade do Livro;244;Integrado;Informação e Comunicação;Informática;Desenvolvimento de Sistemas - MTec-PI ;Manhã e Tarde;147;40;3,67;
Bauru;Bauru;Lençóis Paulista;Bauru/Araçatuba;Etec Cidade do Livro;244;Integrado;Infraestrutura;Construção Civil;Edificações - Mtec-N;Noite;70;40;1,75;
Bauru;Bauru;Lençóis Paulista;Bauru/Araçatuba;Etec Cidade do Livro;244;Integrado;Gestão e Negócios;Comércio;Marketing - MTec;Manhã;109;40;2,72;
Bauru;Bauru;Lençóis Paulista;Bauru/Araçatuba;Etec Cidade do Livro;244;Integrado;Produção Industrial;Química;Química - MTec-PI;Manhã e Tarde;147;40;3,67;
Bauru;Bauru;Lençóis Paulista;Bauru/Araçatuba;Etec Cidade do Livro;244;Integrado;Gestão e Negócios;Gestão;Recursos Humanos - MTec-N;Noite;59;40;1,47;
Bauru;Bauru;Lençóis Paulista;Bauru/Araçatuba;Etec Cidade do Livro (EE Virgilio Capoani);244.01 - Ext/Etec;Técnico;Gestão e Negócios;Gestão;Administração;Noite;88;35;2,51;
Bauru;Bauru;Pederneiras;Bauru/Araçatuba;Etec Professor Urias Ferreira (EE Anchieta);090.01 - Ext/Etec;Técnico;Gestão e Negócios;Gestão;Recursos Humanos;Noite;52;40;1,30;
